buildings,electricity,forestry,macro,industry_steel,industry_chemicals,change
1,2393.94,1,373.59,0.144620909,17.99799345,0.45
1.01,2402.58,1,372.03,0.135491833,19.02086647,0.39
0.99,2393.89,1,368.96,0.13089789,17.93722497,0.24
1.11,2394.36,0.99,367.81,0.13035139,16.78306533,0.28
1.1,2416.25,0.99,366.31,0.128039332,17.82443904,0.34
1.12,2467.33,0.99,367.76,0.131121009,20.01166955,0.47
1.16,2493.01,0.99,368.59,0.128927713,19.40360223,0.32
1.16,2513.19,0.99,368.75,0.135452633,18.79984321,0.51
1.14,2533.18,0.99,367.32,0.130081839,20.49284506,0.65
1.15,2555.91,0.98,367.4,0.130306539,17.33321157,0.44
1.17,3392.04,0.98,369.39,0.138360946,14.45278823,0.43
1.18,3405.46,0.98,369.33,0.136924982,15.13552813,0.57
1.18,3464.42,0.98,369.89,0.143612792,17.15867221,0.62
1.22,3564.56,0.98,373.79,0.152152385,17.73596445,0.64
1.23,3664.62,0.98,378.74,0.164462392,21.7632462,0.58
1.25,3801.44,0.98,381.73,0.175480351,23.65297066,0.67
1.25,3897.89,0.98,384.42,0.188741373,24.14329084,0.64
1.26,4037.9,0.98,387.53,0.201042978,25.2933865,0.62
1.26,4102.29,0.97,386.94,0.19788055,26.27411816,0.54
1.24,4130.92,0.97,383.1,0.180240239,26.68871212,0.65
1.28,4373.02,0.97,389.55,0.20604696,23.9052981,0.73
1.27,4516.53,0.97,391.05,0.218429274,25.69213732,0.58
1.26,4655.8,0.97,391.13,0.218940372,24.74705955,0.64
1.28,4821.7,0.97,391.75,0.22888419,24.68527249,0.67
1.25,4964.29,0.97,391.22,0.228827545,24.08423288,0.74
1.23,5139.42,0.97,390.16,0.219543132,25.33896725,0.93